Recency,Frequency,Monetary,F_rank,R_rank,M_rank,RFM_Score,Segment
2470.0,1,122.0,3,1,3,133,New Customers
2617.0,1,392.94,3,3,5,335,Big Spenders
2576.0,1,170.08,3,2,4,234,Other
2828.0,1,185.99,3,5,4,534,Other
2541.0,1,232.88,3,2,5,235,Big Spenders
2490.0,1,107.32,3,1,3,133,New Customers
2637.0,1,144.5,3,3,4,334,Potential Loyalists
2845.0,1,204.06,3,5,5,535,Big Spenders
2650.0,1,84.17,3,3,2,332,Potential Loyalists
2649.0,1,197.65,3,3,4,334,Potential Loyalists
2937.0,1,192.65,3,5,4,534,Other
2715.0,1,62.59,3,4,2,432,Potential Loyalists
2476.0,1,75.51,3,1,2,132,New Customers
2671.0,1,33.0,3,3,1,331,Low Value
2526.0,1,336.09,3,2,5,235,Big Spenders
2772.0,1,72.05,3,4,2,432,Potential Loyalists
2468.0,1,78.35,3,1,2,132,New Customers
2697.0,1,90.28,3,4,3,433,Potential Loyalists
2497.0,1,71.04,3,1,2,132,New Customers
2980.0,1,215.7,3,5,5,535,Big Spenders
2700.0,1,175.82,3,4,4,434,Potential Loyalists
2660.0,1,23.4,3,3,1,331,Low Value
2791.0,1,248.71,3,4,5,435,Big Spenders
2656.0,1,187.57,3,3,4,334,Potential Loyalists
2646.0,1,68.42,3,3,2,332,Potential Loyalists
2553.0,1,105.77,3,2,3,233,Other
2574.0,1,164.66,3,2,4,234,Other
2860.0,1,158.38,3,5,4,534,Other
2623.0,1,83.41,3,3,2,332,Potential Loyalists
2616.0,1,138.06,3,3,4,334,Potential Loyalists
3108.0,1,45.01,3,5,1,531,Low Value
2679.0,1,109.02,3,3,3,333,Potential Loyalists
2477.0,1,209.36,3,1,5,135,New Customers
2835.0,1,484.94,3,5,5,535,Big Spenders
2873.0,1,131.04,3,5,4,534,Other
2532.0,1,133.92000000000002,3,2,4,234,Other
2558.0,1,379.35,3,2,5,235,Big Spenders
2912.0,1,330.27,3,5,5,535,Big Spenders
2608.0,1,103.37,3,3,3,333,Potential Loyalists
2957.0,1,204.52,3,5,5,535,Big Spenders
2547.0,1,195.55,3,2,4,234,Other
2510.0,1,58.27,3,1,2,132,New Customers
2523.0,1,98.44,3,2,3,233,Other
2855.0,1,37.44,3,5,1,531,Low Value
2685.0,1,125.52,3,3,3,333,Potential Loyalists
2665.0,1,98.51,3,3,3,333,Potential Loyalists
2442.0,1,25.79,3,1,1,131,New Customers
2530.0,1,535.07,3,2,5,235,Big Spenders
2917.0,1,185.6,3,5,4,534,Other
2791.0,1,97.72,3,4,3,433,Potential Loyalists
2807.0,1,70.58,3,4,2,432,Potential Loyalists
2460.0,1,189.19,3,1,4,134,New Customers
2595.0,1,240.58,3,2,5,235,Big Spenders
2712.0,1,120.35,3,4,3,433,Potential Loyalists
2618.0,1,340.2,3,3,5,335,Big Spenders
2475.0,1,193.22,3,1,4,134,New Customers
2560.0,1,57.69,3,2,2,232,Other
2471.0,1,108.88,3,1,3,133,New Customers
2587.0,1,37.38,3,2,1,231,Low Value
2684.0,1,158.22,3,3,4,334,Potential Loyalists
2915.0,1,93.31,3,5,3,533,Other
2656.0,1,85.21,3,3,3,333,Potential Loyalists
2704.0,1,36.09,3,4,1,431,Low Value
2574.0,1,239.34,3,2,5,235,Big Spenders
2723.0,1,245.35,3,4,5,435,Big Spenders
2756.0,1,113.0,3,4,3,433,Potential Loyalists
2783.0,1,168.29,3,4,4,434,Potential Loyalists
2862.0,1,79.2,3,5,2,532,Other
2551.0,1,56.77,3,2,2,232,Other
2700.0,1,160.51,3,4,4,434,Potential Loyalists
2709.0,1,22.77,3,4,1,431,Low Value
2882.0,1,30.75,3,5,1,531,Low Value
0.0,1,37.51,3,1,1,131,New Customers
2832.0,1,211.77,3,5,5,535,Big Spenders
2702.0,1,61.75,3,4,2,432,Potential Loyalists
2645.0,1,106.97,3,3,3,333,Potential Loyalists
2539.0,1,61.14,3,2,2,232,Other
2765.0,1,175.82,3,4,4,434,Potential Loyalists
2751.0,1,80.2,3,4,2,432,Potential Loyalists
2604.0,1,68.65,3,3,2,332,Potential Loyalists
2502.0,1,86.71,3,1,3,133,New Customers
2491.0,1,60.42,3,1,2,132,New Customers
2796.0,1,264.16,3,4,5,435,Big Spenders
2763.0,1,1916.96,3,4,5,435,Big Spenders
2842.0,1,36.75,3,5,1,531,Low Value
