False,True
4,0
29,15
25,1
8,2
9,3
1,0
5,1
17,0
766,31
46,0
1,0
3,0
17,0
12,0
4,0
1,0
1,0
29,1
28,4
20,0
4,0
1,0
1,0
1,0
0,1
4,1
2,0
3,0
7,1
5,0
1,0
1,0
15,0
2,0
2,0
1,0
1,0
3,0
1,0
1,0
8,1
6,1
2,0
5,0
1,0
1,0
1,0
1,0
648,65
21,1
5,0
1,0
1,0
1,0
4,1
1,0
7,0
42,3
5,0
1,0
3,0
881,57
1,0
17,1
1,0
2,0
264,13
232,9
1,0
0,1
7,0
1,0
1,0
7,0
2,0
1,0
2,0
6,1
4,0
1,0
1,1
0,1
1,0
1,0
1,0
6,2
1,0
23,0
16,2
1,1
14,1
7,0
1,0
3,0
1,0
2,0
1,0
17,0
21,3
12,2
7,0
4,0
1,0
1,0
313,96
2,0
10,2
2,1
6,0
1,0
3,0
10,0
18,2
7,0
11,1
9,2
3,0
2,1
14,1
80,2
1,1
1,0
1,0
1,0
2,0
